Group	Scan Group	Scan Identity	Res	Issue Images
22	CCR-2-B4	CCR-2-0144	135	[14, 15, 16, 27, 40, 54, 67, 134]
22	CCR-2-B4	CCR-2-0145	116	[13, 14, 15, 27, 40, 65, 66, 134]
22	CCR-2-B4	CCR-2-0146	102	[14, 15, 16, 27, 40, 66, 67, 134]
22	CCR-2-B4	CCR-2-0147	90	[13, 14, 15, 27, 40, 66, 134]
22	CCR-2-B4	CCR-2-0148	81	[14, 15, 16, 27, 40, 54, 67, 134]
23	CCR-2-B4	CCR-2-0149	204	[10, 20, 30, 50]
23	CCR-2-B4	CCR-2-0150	164	[10, 20, 29, 40, 50]
23	CCR-2-B4	CCR-2-0151	135	[10, 20, 30, 50]
23	CCR-2-B4	CCR-2-0152	116	[10, 20, 30, 50]
23	CCR-2-B4	CCR-2-0153	102	[10, 20, 30, 50]
23	CCR-2-B4	CCR-2-0154	90	[10, 20, 30, 50]
23	CCR-2-B4	CCR-2-0155	82	[10, 20, 30, 50]
24	CCR-2-B4	CCR-2-0156	204	[7, 14, 20, 33]
24	CCR-2-B4	CCR-2-0157	164	[7, 14, 20, 33]
24	CCR-2-B4	CCR-2-0158	158	[7, 14, 20, 33]
24	CCR-2-B4	CCR-2-0159	116	[]
24	CCR-2-B4	CCR-2-0160	102	[7, 14, 20, 33]
24	CCR-2-B5	CCR-2-0161	90	[7, 14, 20, 33]
24	CCR-2-B5	CCR-2-0162	81	[7, 14, 20, 33]
25	CCR-2-B5	CCR-2-0163	227	[32, 48, 80, 160]
25	CCR-2-B5	CCR-2-0164	227	[32, 48, 80, 160]
25	CCR-2-B5	CCR-2-0165	227	[32, 48, 80, 160]
25	CCR-2-B5	CCR-2-0166	227	[32, 48, 80, 160]
25	CCR-2-B5	CCR-2-0167	227	[32, 48, 80, 160]
26	CCR-2-B5	CCR-2-0168	226	[27, 66, 134]
26	CCR-2-B5	CCR-2-0169	226	[27, 66, 134]
26	CCR-2-B5	CCR-2-0170	230	[13, 27, 66, 134]
26	CCR-2-B5	CCR-2-0171	230	[13, 27, 66, 134]
26	CCR-2-B5	CCR-2-0172	230	[13, 14, 27, 40, 54, 67, 134]
26	CCR-2-B5	CCR-2-0173	227	[13, 27, 40, 54, 66, 134]
26	CCR-2-B5	CCR-2-0174	227	[13, 27, 40, 54, 66, 134]
26	CCR-2-B5	CCR-2-0175	226	[14, 27, 40, 54, 67, 134]
26	CCR-2-B5	CCR-2-0176	226	[14, 27, 40, 54, 67, 134]
26	CCR-2-B5	CCR-2-0177	226	[14, 27, 40, 54, 67, 134]
26	CCR-2-B5	CCR-2-0178	226	[14, 40, 54, 66, 134]
26	CCR-2-B5	CCR-2-0179	226	[67, 134]
26	CCR-2-B5	CCR-2-0180	225	[67, 134]
26	CCR-2-B5	CCR-2-0181	225	[67, 134]
26	CCR-2-B5	CCR-2-0182	225	[67, 134]
27	CCR-2-B5	CCR-2-0183	164	[160]
27	CCR-2-B5	CCR-2-0184	164	[]
27	CCR-2-B5	CCR-2-0185	164	[]
27	CCR-2-B5	CCR-2-0186	163	[160]
27	CCR-2-B5	CCR-2-0187	164	[160]
28	CCR-2-B5	CCR-2-0188	164	[41, 55, 68, 135] 
28	CCR-2-B5	CCR-2-0189	164	[41, 55, 68, 121, 135]
28	CCR-2-B5	CCR-2-0190	162	[41, 55, 68, 121, 135]
28	CCR-2-B5	CCR-2-0191	164	[41, 55, 68, 121, 135]
28	CCR-2-B5	CCR-2-0192	164	[13, 27, 40, 66, 134]
28	CCR-2-B5	CCR-2-0193	164	[27, 40, 66, 120, 134]
28	CCR-2-B5	CCR-2-0194	164	[27, 40, 66, 120, 134]
28	CCR-2-B5	CCR-2-0195	164	[27, 40, 66, 120, 134]
28	CCR-2-B5	CCR-2-0196	164	[14, 27, 39, 40, 54, 67, 134]
28	CCR-2-B5	CCR-2-0197	164	[14, 27, 39, 40, 54, 67, 134]
28	CCR-2-B5	CCR-2-0198	164	[66, 134]
28	CCR-2-B5	CCR-2-0199	163	[27, 66, 120, 134]
28	CCR-2-B5	CCR-2-0200	163	[27, 67, 134]
28	CCR-2-B6	CCR-2-0201	163	[27, 67, 134]
28	CCR-2-B6	CCR-2-0202	163	[27, 67, 134]
28	CCR-2-B6	CCR-2-0203	163	[27, 67, 134]
28	CCR-2-B6	CCR-2-0204	163	[27, 67, 134]
28	CCR-2-B6	CCR-2-0205	163	[14, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0206	163	[14, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0207	163	[14, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0208	163	[14, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0209	163	[14, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0210	163	[14, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0211	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0212	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0213	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0214	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0215	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0216	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0217	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0218	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0219	163	[13, 27, 40, 66, 134]
28	CCR-2-B6	CCR-2-0220	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0221	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0222	163	[14, 27, 39, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0223	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0224	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0225	163	[14, 27, 39, 40, 54, 67, 134]
28	CCR-2-B6	CCR-2-0226	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0227	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0228	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0229	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0230	163	[13, 26, 27, 40, 53, 65, 66, 120, 133, 134]
28	CCR-2-B6	CCR-2-0231	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0232	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0233	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0234	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0235	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0236	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0237	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0238	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0239	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0240	163	[13, 27, 40, 66, 120, 134]
28	CCR-2-B6	CCR-2-0241	163	[13, 27, 40, 66, 120, 134]













































