Group	Scan Group	Scan Identity	Res	Sections
28	CCR-2-B6	CCR-2-0213	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0214	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0215	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0216	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0217	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0218	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0219	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0220	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0221	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0222	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0223	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0224	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0225	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0226	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0227	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0228	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0229	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0230	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0231	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
